"entry_id","incident_id","incident_type","description","location","county","severity","lat","lon","lanes","create_time","start_time","last_update","direction","vehicles_involved","lanes_status","participants","traffic_alert","additional_data","source","op_center","recorded_at"
"31","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:54:48.68575-04"
"34","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:55:48.546547-04"
"37","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:56:48.555565-04"
"40","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:58:27.53108-04"
"43","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:59:27.480487-04"
"46","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:00:07","2025-04-01 05:27:06","2025-04-01 06:00:08.634","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:00:27.50232-04"
"49","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:23","2025-04-01 05:27:06","2025-04-01 06:01:24.079","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:01:27.507404-04"
"52","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:02:36.675106-04"
"55","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:03:36.657594-04"
"58","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:04:36.630706-04"
"61","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:07:04.439939-04"
"64","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:08:04.33563-04"
"68","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (closed), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:01:56","2025-04-01 05:27:06","2025-04-01 06:01:59.341","North","1 vehicle involved.","1/6 Northbound-1 of 6 Traffic Lanes, 1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:09:04.415023-04"
"72","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (open), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:09:46","2025-04-01 05:27:06","2025-04-01 06:09:46.723","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:10:04.34916-04"
"76","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (open), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:09:46","2025-04-01 05:27:06","2025-04-01 06:09:46.723","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:11:04.368844-04"
"80","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (open), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:09:46","2025-04-01 05:27:06","2025-04-01 06:09:46.723","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:12:04.384887-04"
"84","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (open), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:09:46","2025-04-01 05:27:06","2025-04-01 06:09:46.723","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:13:04.370047-04"
"88","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), L4 (open), Shoulder (closed), L5 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 06:09:46","2025-04-01 05:27:06","2025-04-01 06:09:46.723","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Priv. Tow Light Duty, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 06:14:04.380087-04"
